expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp155,rbm,4.17104,18.79997,18.66638,0.98644765625,0.926115966796875,0.9272318725585937,PF00240,37000,True,False,69,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,-61.722265608744806,-123.33119863353392,-121.63274693109042,-11.3527,-101.402,-99.7127,0.0162332,0.379423,0.371274
exp174,rbm,66.48550,58.04442,58.35781,0.7627974375,0.82708642578125,0.82719013671875,PF00595,98000,True,False,81,500,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-114.21055991243719,-126.45558077142505,-126.87501799562432,-90.9194,-112.014,-112.441,0.331275,0.413272,0.413873
exp423,rbm,10.22504,14.01036,14.22889,0.9647734375,0.9560494140625,0.95518515625,PF00595,98000,False,False,81,500,None,0.5000,NONE,0.0010,0.0000,0.0000,-87.611655129463657,-131.87931395604494,-132.48994974437585,-30.102,-118.251,-119.228,0.0856152,0.41227,0.415539
exp83,rbm,54.08753,67.01049,65.86776,0.754866484375,0.7247536010742187,0.7291884155273437,PF00240,2000,True,False,69,100,None,0.5000,NONE,0.0010,0.5000,0.9000,,,,-62.6572,-110.029,-108.323,0.285842,0.438422,0.431514
exp156,rbm,7.69997,12.60455,12.71842,0.9739154375,0.95999501953125,0.959792578125,PF00595,55000,True,False,81,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,,,,-27.7608,-113.178,-113.949,0.0771447,0.393878,0.395316
exp65,rbm,43.23962,47.30331,46.80417,0.8224790625,0.8336956787109375,0.83595654296875,PF00240,92000,True,False,69,500,None,0.0100,NONE,0.0100,0.5000,0.9000,-87.222114074295575,-109.86321615081306,-108.4645594830273,-58.8967,-95.6423,-93.9812,0.233737,0.393361,0.384591
exp36,dbm,115.17201,100.34411,100.58061,0.579724375,0.65452841796875,0.653239501953125,PF00595,1000,False,False,81,100,100,0.1000,NONE,0.0100,0.5000,0.9000,-126.36361664934924,-131.16571051187458,-131.62290067417723,-117.994,-125.318,-125.801,0.434602,0.461058,0.462417
exp47,rbm,42.62247,45.71983,44.55224,0.820761640625,0.8352463989257812,0.838275390625,PF00240,4000,True,False,69,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,,,,-60.4037,-97.251,-95.5808,0.253875,0.401196,0.39356
exp111,rbm,78.74619,80.17974,80.69572,0.6970079375,0.70795556640625,0.706518505859375,PF00595,80000,True,False,81,100,None,0.1000,NONE,0.0010,0.5000,0.9000,-114.59684365585579,-130.59262490435421,-130.99684353734895,-92.6312,-118.827,-119.333,0.358223,0.435888,0.436332
exp44,dbm,75.45371,61.75301,60.94173,0.683003984375,0.758202880859375,0.760275390625,PF00240,1000,False,False,69,500,500,0.1000,NONE,0.0100,0.5000,0.9000,,,,-86.6974,-115.948,-114.238,0.341901,0.425351,0.418913
exp8,rbm,80.82950,80.57719,79.61369,0.6646609375,0.6876087036132813,0.6918695678710938,PF00240,2000,False,False,69,100,None,0.5000,NONE,0.0100,0.5000,0.9000,,,,-88.2373,-105.953,-104.426,0.367968,0.442793,0.435471
exp164,dbm,91.15711,83.67248,82.59939,0.6154056640625,0.6646956787109375,0.6687391357421875,PF00240,143000,True,False,69,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-92.1959,-106.157,-104.741,0.387814,0.438504,0.432797
exp291,dbm,5.22183,23.82754,23.77839,0.9810561875,0.918246875,0.91948642578125,PF00595,11000,True,False,81,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-131.88225170841474,-220.01368947710353,-221.95831154326106,-35.465,-300.238,-305.19,0.0859508,0.45816,0.463241
exp216,dbm,100.43617,74.68450,74.87183,0.6430985625,0.74685927734375,0.7470271484375,PF00595,183000,False,False,81,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-129.99461147310524,-138.28887304611169,-138.61509408995937,-120.329,-136.542,-136.842,0.403143,0.445149,0.446293
exp296,rbm,3.66953,15.51618,15.35429,0.98724140625,0.939,0.9397536010742188,PF00240,44000,False,False,69,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-65.833312511949771,-125.96909572963432,-124.17254488197614,-11.8659,-103.751,-101.767,0.0190289,0.38489,0.377149
exp141,rbm,123.48597,115.99165,116.29929,0.5216019375,0.5627111328125,0.56178271484375,PF00595,100000,False,True,81,100,None,0.0100,NONE,0.0010,0.5000,0.9000,-170.66539094712545,-178.72894380243474,-179.37843800362401,-118.025,-126.517,-126.818,0.446091,0.466812,0.467239
exp369,rbm,64.15578,55.16314,55.45321,0.7706630625,0.83809873046875,0.83847412109375,PF00595,98000,False,False,81,500,None,0.1000,NONE,0.0100,0.0000,0.0000,,,,-88.5183,-111.514,-111.928,0.317381,0.409252,0.409898
exp108,rbm,8.77889,11.94430,12.07519,0.9671809375,0.9609580078125,0.95970859375,PF00595,7000,False,False,81,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,-102.43024871654859,-150.80256507711397,-151.2623068099158,-37.8795,-128.354,-128.959,0.148969,0.426987,0.426237
exp255,rbm,10.46958,16.78890,17.02289,0.9646125,0.94629140625,0.94547158203125,PF00595,94000,True,False,81,500,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-27.8871,-120.517,-121.27,0.0770921,0.416381,0.417991
exp162,rbm,6.97608,9.80786,9.92315,0.9758513125,0.969407421875,0.968883984375,PF00595,100000,False,False,81,1000,None,0.0100,NONE,0.0010,0.5000,0.9000,,,,-29.4094,-112.457,-112.976,0.0801722,0.393558,0.393817
exp228,dbm,92.40366,72.18791,72.29191,0.6611714375,0.771733349609375,0.771970361328125,PF00595,1000,True,False,81,500,500,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-118.60035384950993,-128.38134853362078,-128.92136186515904,-103.756,-122.832,-123.402,0.366876,0.424755,0.426037
exp300,rbm,80.49013,80.23812,80.56753,0.692214125,0.7094419921875,0.70854814453125,PF00595,90000,True,False,81,100,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,,,,-95.6598,-119.906,-120.552,0.36715,0.438307,0.441026
exp363,rbm,65.07241,56.79579,57.12828,0.7677390625,0.83273583984375,0.8331654296875,PF00595,98000,True,False,81,500,None,0.1000,NONE,0.0100,0.0000,0.0000,,,,-88.3473,-110.959,-111.442,0.315984,0.408088,0.409045
exp138,rbm,79.28390,80.05174,80.37153,0.69555375,0.70907158203125,0.7082962890625,PF00595,90000,True,False,81,100,None,0.0100,NONE,0.0010,0.5000,0.9000,,,,-93.834,-119.222,-119.897,0.361717,0.435486,0.438477
exp174,dbm,104.79864,89.99290,90.29396,0.6175253125,0.692943212890625,0.692143212890625,PF00595,179000,True,False,81,500,500,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-123.97052211061043,-130.89211910557111,-131.41084863557506,-111.602,-121.739,-121.973,0.40617,0.439611,0.439856
