expid,model_name,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp155,rbm,-61.722265608744806,-123.33119863353392,-121.63274693109042,-11.3527,-101.402,-99.7127,0.0162332,0.379423,0.371274
exp174,rbm,-114.21055991243719,-126.45558077142505,-126.87501799562432,-90.9194,-112.014,-112.441,0.331275,0.413272,0.413873
exp423,rbm,-87.611655129463657,-131.87931395604494,-132.48994974437585,-30.102,-118.251,-119.228,0.0856152,0.41227,0.415539
exp83,rbm,,,,-62.6572,-110.029,-108.323,0.285842,0.438422,0.431514
exp156,rbm,,,,-27.7608,-113.178,-113.949,0.0771447,0.393878,0.395316
exp65,rbm,-87.222114074295575,-109.86321615081306,-108.4645594830273,-58.8967,-95.6423,-93.9812,0.233737,0.393361,0.384591
exp36,dbm,-126.36361664934924,-131.16571051187458,-131.62290067417723,-117.994,-125.318,-125.801,0.434602,0.461058,0.462417
exp47,rbm,,,,-60.4037,-97.251,-95.5808,0.253875,0.401196,0.39356
exp111,rbm,-114.59684365585579,-130.59262490435421,-130.99684353734895,-92.6312,-118.827,-119.333,0.358223,0.435888,0.436332
exp44,dbm,,,,-86.6974,-115.948,-114.238,0.341901,0.425351,0.418913
exp164,dbm,,,,-92.1959,-106.157,-104.741,0.387814,0.438504,0.432797
exp291,dbm,-131.88225170841474,-220.01368947710353,-221.95831154326106,-35.465,-300.238,-305.19,0.0859508,0.45816,0.463241
exp216,dbm,-129.99461147310524,-138.28887304611169,-138.61509408995937,-120.329,-136.542,-136.842,0.403143,0.445149,0.446293
exp296,rbm,-65.833312511949771,-125.96909572963432,-124.17254488197614,-11.8659,-103.751,-101.767,0.0190289,0.38489,0.377149
exp141,rbm,-170.66539094712545,-178.72894380243474,-179.37843800362401,-118.025,-126.517,-126.818,0.446091,0.466812,0.467239
exp369,rbm,,,,-88.5183,-111.514,-111.928,0.317381,0.409252,0.409898
exp108,rbm,-102.43024871654859,-150.80256507711397,-151.2623068099158,-37.8795,-128.354,-128.959,0.148969,0.426987,0.426237
exp255,rbm,,,,-27.8871,-120.517,-121.27,0.0770921,0.416381,0.417991
exp162,rbm,,,,-29.4094,-112.457,-112.976,0.0801722,0.393558,0.393817
exp228,dbm,-118.60035384950993,-128.38134853362078,-128.92136186515904,-103.756,-122.832,-123.402,0.366876,0.424755,0.426037
exp300,rbm,,,,-95.6598,-119.906,-120.552,0.36715,0.438307,0.441026
exp363,rbm,,,,-88.3473,-110.959,-111.442,0.315984,0.408088,0.409045
exp138,rbm,,,,-93.834,-119.222,-119.897,0.361717,0.435486,0.438477
exp174,dbm,-123.97052211061043,-130.89211910557111,-131.41084863557506,-111.602,-121.739,-121.973,0.40617,0.439611,0.439856
exp60,dbm,-195.03418003027014,-198.2087569184244,-199.14651415908855,-138.689,-140.412,-140.976,0.525193,0.531122,0.534427
exp125,rbm,-67.284832056913274,-125.56869241434833,-123.89351158593286,-11.7299,-105.411,-103.425,0.0168329,0.396406,0.389292
exp299,rbm,-88.951006660231542,-119.15503851474205,-117.57009106828335,-61.0065,-109.064,-107.233,0.278388,0.43416,0.426111
exp326,dbm,-119.31201941750146,-128.52242528717557,-127.30812804460908,-94.4573,-107.332,-106.08,0.399669,0.448328,0.443184
exp126,dbm,,,,-63.4619,-354.863,-359.498,0.113829,0.438087,0.441226
exp243,rbm,,,,-87.0386,-110.898,-111.31,0.31807,0.408495,0.409529
exp326,rbm,-104.02716748637741,-116.1383558676628,-114.91031790383366,-85.1523,-104.096,-102.645,0.350599,0.431102,0.426071
exp344,dbm,-152.67090961035262,-159.03690459765227,-158.52587578297005,-110.396,-118.472,-117.572,0.465392,0.493687,0.490836
exp188,dbm,-114.63503922623204,-126.26348006264072,-124.71773644056589,-88.947,-107.434,-105.898,0.36832,0.431887,0.424734
exp134,rbm,-65.061351620255664,-127.31145187273432,-125.25296349270445,-12.6499,-107.997,-105.815,0.0303835,0.39535,0.386955
exp185,rbm,-154.94917843492442,-172.897517451814,-171.12401564276877,-101.256,-122.494,-120.629,0.410211,0.466745,0.459162
exp90,dbm,-123.62533236342858,-138.07299672472357,-138.42999969894066,-105.78,-130.466,-131.233,0.379948,0.434749,0.435676
exp62,rbm,-103.15328851362307,-115.16935412613793,-113.99476880955459,-84.8307,-103.522,-102.055,0.34746,0.428693,0.422302
exp12,dbm,-151.6558644256757,-155.1968208044724,-155.97774184987856,-128.442,-132.643,-133.121,0.481867,0.494263,0.497012
exp393,dbm,-260.77826482938053,-265.54113901538346,-266.58901987747083,-131.357,-134.228,-134.722,0.493753,0.505444,0.507021
exp153,dbm,,,,-67.6226,-339.811,-344.055,0.120551,0.426355,0.429527
exp60,rbm,-182.07579406803171,-185.31528587942728,-186.2384884423951,-137.353,-140.274,-140.98,0.515001,0.523419,0.525932
exp107,dbm,-99.761553141129639,-202.70754402042792,-199.88604753921368,-25.8442,-358.338,-351.087,0.046193,0.427637,0.420965
exp56,dbm,,,,-89.934,-105.812,-104.497,0.377113,0.435066,0.430784
exp51,rbm,-211.60417339694436,-220.18838455773005,-220.8400513352907,-134.725,-144.976,-145.011,0.465115,0.489668,0.490858
exp236,dbm,-96.135992126649171,-118.03619764984865,-116.1575842178728,-70.128,-108.071,-106.299,0.284394,0.398747,0.390899
exp189,rbm,-116.40090885665478,-128.03404792675343,-128.383701148635,-93.1541,-113.585,-113.987,0.339036,0.418757,0.41971
exp263,dbm,-231.50858717720791,-307.93711576449164,-307.31824305512771,-1.74624,-184.817,-182.501,0.004126,0.379843,0.376528
exp95,rbm,-112.44809492895814,-177.88687251785882,-176.475874956469,-34.3897,-116.08,-114.309,0.163167,0.381967,0.376298
exp372,dbm,,,,-110.603,-128.378,-128.865,0.386956,0.438389,0.439646
exp290,rbm,-62.872753272331465,-125.39379611311824,-123.640184659304,-11.1953,-101.959,-100.049,0.0185058,0.37872,0.371152
exp345,rbm,-124.3028752999403,-135.90072157503909,-136.25203939097929,-99.6563,-118.133,-118.472,0.361436,0.423303,0.423728
exp209,dbm,,,,-74.7876,-107.088,-105.195,0.307806,0.408761,0.399638
exp299,dbm,-96.880801741421294,-127.71147426084565,-125.53000915558596,-65.4003,-118.987,-116.795,0.281007,0.411048,0.402528
exp170,dbm,,,,-92.3837,-107.195,-105.943,0.386885,0.440831,0.435228
exp269,rbm,-62.881610249226696,-125.02796513514261,-123.2948190336939,-11.442,-105.728,-103.9,0.0221404,0.388462,0.381161
exp47,dbm,,,,-78.5289,-110.052,-108.045,0.319472,0.414674,0.405324
exp255,dbm,,,,-65.5852,-315.056,-318.765,0.127082,0.419035,0.422832
exp290,dbm,-92.937876434198643,-202.24681333329852,-198.85948814501228,-7.41502,-243.2,-240.269,0.0210672,0.403226,0.398504
exp143,dbm,,,,-57.8974,-121.234,-118.433,0.262163,0.424241,0.415522
exp194,rbm,-174.91628752443626,-181.67136218135425,-180.60899783584452,-112.553,-120.205,-118.566,0.483496,0.508505,0.498737
exp179,dbm,-114.8392058940895,-126.3055954112819,-124.7238000503279,-89.2233,-107.35,-105.645,0.369723,0.431576,0.425517
exp215,rbm,-86.533777175104433,-111.30856603777829,-110.01634219761957,-57.8513,-97.494,-95.8138,0.242733,0.401156,0.392398
exp68,dbm,-225.37561849088991,-236.47947850359958,-234.90696550507903,-107.593,-114.872,-113.685,0.453429,0.487205,0.479422
exp263,rbm,-58.831313275901266,-122.91488085316814,-121.08619311580321,-12.6549,-104.972,-103.146,0.0298469,0.385431,0.376852
exp170,rbm,,,,-85.1927,-104.154,-102.803,0.35072,0.430425,0.423964
exp236,rbm,-84.832848716484364,-108.71013914101229,-107.38156648670991,-57.7765,-95.2531,-93.6887,0.23628,0.391913,0.38451
exp128,rbm,-64.569719402054261,-127.53905543958649,-125.67629820278341,-10.9721,-102.197,-100.419,0.0190605,0.379531,0.37203
exp180,dbm,,,,-119.383,-126.067,-126.454,,,
exp129,rbm,-82.292147604042498,-130.4423554341156,-131.08680785790443,-28.737,-114.49,-115.424,0.0863241,0.395521,0.398113
exp366,dbm,,,,-130.913,-133.814,-134.389,0.49374,0.504961,0.507208
exp101,rbm,-59.570782561971896,-123.86036060146398,-121.98551753469508,-12.7058,-105.394,-103.596,0.0307308,0.385919,0.377743
exp344,rbm,-90.956963414743086,-115.74084382095521,-114.18834041635893,-60.7241,-99.1157,-97.3293,0.257784,0.405933,0.39953
exp132,dbm,,,,-78.1537,-123.723,-124.552,,,
exp116,dbm,-104.51343833924875,-137.22996676984485,-135.28444456950785,-62.6717,-120.888,-118.609,0.269076,0.407719,0.401245
exp212,dbm,-213.1934556343283,-223.36885962495512,-221.17008979806508,-109.161,-115.743,-114.412,0.466871,0.495974,0.488351
exp56,rbm,,,,-84.9413,-103.651,-102.192,0.348778,0.428802,0.422167
exp399,rbm,-111.75135936253173,-125.00116165402233,-125.34977149100439,-88.5705,-110.63,-111.05,0.323416,0.407221,0.408078
exp201,rbm,-112.5248472380988,-125.35412265037701,-125.75569863599446,-88.3059,-110.906,-111.348,0.316477,0.407657,0.408658
exp104,rbm,-182.22959486223704,-271.23367587708276,-269.69731639118731,-22.4791,-130.678,-127.876,0.103658,0.403064,0.394978
exp12,rbm,-120.22128803978643,-132.14031573768142,-132.56111443863682,-96.0994,-116.584,-116.97,0.356621,0.43138,0.433066
exp318,dbm,-126.74935747523682,-210.03031812949666,-212.02227012686444,-65.9362,-316.872,-320.822,0.137698,0.453915,0.457992
exp57,dbm,-121.41410280307468,-126.43833511350738,-126.84810369072471,-116.599,-124.37,-124.756,0.430288,0.457442,0.459352
exp152,rbm,-62.643222157625928,-119.75392341389204,-117.7457923297892,-11.9381,-103.418,-100.761,0.011733,0.391697,0.380945
exp207,dbm,,,,-117.133,-133.235,-133.527,0.399542,0.443831,0.445053
exp294,dbm,,,,-77.4548,-121.821,-122.491,0.267655,0.380992,0.383076
exp86,dbm,,,,-94.7784,-105.751,-104.49,0.413697,0.453579,0.444967
exp147,dbm,,,,-75.9096,-254.525,-256.099,0.186603,0.450945,0.45295
exp116,rbm,-87.123384248375999,-121.22379149454872,-119.81494386668584,-55.997,-111.227,-109.305,0.258204,0.434836,0.427853
exp63,rbm,-126.52583963442277,-132.38116072448264,-132.7271312061257,-112.327,-121.605,-121.924,0.412271,0.449379,0.450076
exp74,dbm,-94.090087783156605,-117.08648651539113,-115.291603228756,-66.943,-107.739,-105.826,0.27267,0.400005,0.392601
exp216,rbm,-111.76689719062142,-126.09192262904037,-126.51174009210445,-86.1578,-111.119,-111.583,0.3161,0.409808,0.410127
exp240,dbm,-409.86641140959659,-417.13933130331202,-418.41015221070325,-127.594,-131.439,-131.885,0.475833,0.491844,0.492956
exp210,rbm,,,,-85.3917,-109.53,-109.984,0.30993,0.403177,0.40372
exp41,rbm,-174.05628713731625,-188.83892129556779,-187.05137384888462,-100.743,-117.705,-116.02,0.416799,0.464864,0.457001
exp258,dbm,-233.68719092830338,-265.74511668431137,-266.82275437864052,-90.3406,-117.238,-117.745,0.322557,0.40072,0.402423
exp131,rbm,-93.96868740706725,-188.70761591912344,-186.19160598631004,-11.765,-125.295,-123.112,0.0575699,0.366203,0.359091
exp288,dbm,-105.95080024513527,-170.35597165594663,-171.45489193306116,-65.319,-344.979,-349.758,0.114472,0.423432,0.427702
exp113,dbm,-154.07915058674223,-171.94737264648887,-170.1443621314873,-93.3678,-104.763,-103.593,0.406811,0.447814,0.441563
exp80,rbm,,,,-58.4547,-97.1779,-95.53,0.24405,0.400628,0.392263
exp8,rbm,,,,-88.2373,-105.953,-104.426,0.367968,0.442793,0.435471
exp171,dbm,-135.03575547103998,-139.21272153388509,-139.72936511620924,-120.223,-126.378,-126.873,0.445565,0.467718,0.468848
exp78,dbm,,,,-127.245,-131.159,-131.624,0.474259,0.490675,0.491476
exp336,dbm,,,,-121.118,-127.046,-127.297,0.451513,0.47132,0.471971
exp350,dbm,-120.04270121968921,-132.93969402967338,-131.83464470330443,-88.2995,-106.312,-104.782,0.368672,0.43029,0.424207
exp194,dbm,-180.26184943505348,-185.75165194894743,-184.49578889826677,-120.511,-124.351,-123.313,0.521852,0.536976,0.529478
exp17,rbm,,,,-70.8419,-102.938,-101.539,0.303287,0.422428,0.4169
exp17,dbm,,,,-93.748,-109.251,-107.763,0.391462,0.443904,0.437781
exp24,dbm,-239.68205692278593,-243.6823380164534,-244.99249952147511,-133.778,-136.195,-136.927,0.508863,0.517076,0.520319
exp239,rbm,-140.29514530968947,-157.80143212803046,-156.10603522291331,-92.5807,-113.316,-111.505,0.38054,0.439641,0.433229
exp71,dbm,-104.58037466273868,-122.13033708113403,-120.38441256328474,-80.4595,-114.03,-112.132,0.320319,0.418977,0.413037
exp6,rbm,-180.60878641768693,-183.76971001255043,-184.70642953675554,-136.261,-139.264,-139.935,0.513692,0.522734,0.52518
exp420,rbm,,,,-70.6502,-124.702,-125.662,0.27068,0.399168,0.400602
exp53,dbm,,,,-97.5469,-125.346,-123.771,0.36796,0.441534,0.436444
exp48,rbm,-113.02901324662867,-126.87271767072059,-127.27401878434682,-88.2123,-111.563,-112.022,0.326843,0.413688,0.413882
exp198,dbm,,,,-118.113,-125.399,-125.809,0.434659,0.46057,0.461948
exp66,rbm,-112.63108707458133,-125.46068601938623,-125.79854306146285,-88.269,-110.948,-111.34,0.31533,0.407522,0.408016
exp377,dbm,,,,-99.8621,-127.272,-126.199,0.375647,0.450994,0.448654
exp113,rbm,-174.93390600085331,-192.95515135569485,-191.64863060642179,-87.4875,-107.952,-106.272,0.382615,0.438612,0.431068
exp371,rbm,-85.03754870220007,-109.47214937520022,-108.0983507977395,-56.7802,-95.1308,-93.5425,0.232181,0.391115,0.382322
exp165,dbm,,,,-119.183,-125.576,-125.852,0.442172,0.463794,0.464845
exp372,rbm,,,,-85.2329,-109.572,-110.03,0.308989,0.403297,0.403859
exp197,rbm,,,,-84.3624,-103.484,-101.884,0.345224,0.426718,0.419817
exp117,dbm,-119.18396514327719,-134.14056706800625,-134.61696130447154,-102.508,-131.024,-131.973,0.363449,0.426014,0.428278
exp30,dbm,-125.57108983908302,-130.31996442897344,-130.80875781664844,-118.007,-125.208,-125.629,0.435004,0.460111,0.461928
exp9,rbm,-129.51709709228425,-135.05733928919165,-135.58087207730966,-115.053,-123.887,-124.438,0.42617,0.460033,0.462886
exp272,dbm,-85.23001137911308,-117.77384947287118,-115.72188488887343,-62.5192,-117.207,-115.058,0.272629,0.406704,0.39899
exp105,dbm,-255.56654935780216,-305.37128295332059,-306.96352151847407,-77.4705,-123.158,-123.932,0.264735,0.379905,0.381888
exp182,dbm,-107.97215278292958,-124.15416282093338,-122.51765367052406,-79.2116,-100.873,-99.4187,0.332688,0.405445,0.399611
exp213,rbm,,,,-135.639,-145.98,-146.071,0.463528,0.488529,0.488689
exp90,rbm,-122.02794339556186,-138.0480353358185,-138.74434759483688,-96.2322,-122.588,-123.35,0.370236,0.444368,0.446413
exp39,dbm,-120.05865977030783,-128.90666072042711,-129.4306741980331,-109.807,-125.487,-125.887,0.387208,0.432444,0.434905
exp42,dbm,,,,-132.205,-134.795,-135.445,0.500128,0.509512,0.512375
exp444,rbm,-90.277532511494201,-135.35390131772016,-135.74946285756778,-32.1575,-121.014,-121.396,0.101347,0.418833,0.41902
exp159,dbm,,,,-78.4802,-119.934,-120.552,0.275449,0.382089,0.3841
exp75,dbm,,,,-102.226,-125.329,-125.924,0.353933,0.419797,0.422474
exp144,rbm,,,,-93.1283,-119.884,-120.076,0.359333,0.436099,0.436783
exp381,dbm,,,,-117.924,-125.071,-125.534,0.436232,0.461451,0.462882
exp183,rbm,,,,-89.3641,-111.408,-111.846,0.33138,0.411499,0.413226
exp192,rbm,-126.74784197762182,-132.56396005674586,-133.00079042911568,-112.198,-121.359,-121.911,0.412004,0.448698,0.450263
exp209,rbm,,,,-55.7917,-95.0954,-93.4831,0.227365,0.390993,0.383038
exp161,dbm,-90.555865509561272,-150.74045328196598,-148.12340327896709,-41.1509,-210.551,-207.35,0.132986,0.475501,0.470265
exp296,dbm,-90.087599180689267,-189.83016361325349,-186.11010375605406,-10.4442,-240.23,-236.783,0.0363042,0.478491,0.47194
exp141,dbm,-178.47850175809543,-186.9388997166426,-187.35483401952155,-119.027,-123.815,-124.159,0.455339,0.470769,0.471061
exp96,dbm,-240.27515310075751,-272.82268851598758,-273.72909399831553,-88.3829,-115.005,-115.381,0.319329,0.398775,0.399975
exp471,dbm,,,,-77.3288,-305.306,-307.026,0.148013,0.413276,0.414399
exp120,dbm,,,,-36.9527,-299.808,-301.992,,,
exp45,rbm,-116.40945850584626,-129.32979412000628,-129.62525961185804,-90.6793,-113.697,-113.999,0.33225,0.417918,0.419791
exp101,dbm,-323.48540969573287,-410.5513946628671,-411.02159756005949,-35.6331,-365.148,-359.911,0.0682794,0.4255,0.418115
exp171,rbm,-127.51773558537957,-133.27231263527847,-133.72855243388778,-112.833,-121.824,-122.348,0.415498,0.450821,0.453332
exp110,rbm,,,,-67.8742,-108.406,-106.632,0.304519,0.435459,0.427057
exp342,rbm,,,,-102.543,-119.248,-119.63,0.373462,0.435783,0.436419
exp65,dbm,-97.01097396976661,-117.16828805100806,-115.28061673445745,-69.1364,-106.048,-104.26,0.284083,0.402861,0.396464
exp482,dbm,-142.23241523485831,-219.28566326452903,-216.2871247954846,-48.0509,-108.739,-107.083,0.195404,0.362495,0.356254
exp155,dbm,-84.945312212088311,-165.10485043241351,-162.30192687322187,-15.8225,-214.367,-210.606,0.0454129,0.400465,0.395573
exp401,dbm,-215.43232463251877,-226.4385132188213,-225.01021156235527,-106.741,-114.426,-113.165,0.450204,0.485094,0.477342
